LocationID,StateAbbr,LocationName,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COGNITION,COLON_SCREEN,COPD,CSMOKING,DENTAL,DEPRESSION,diabetes_prevalence,DISABILITY,EMOTIONSPT,food_insecurity,FOODSTAMP,GHLTH,HEARING,HIGHCHOL,HOUSINSECU,INDEPLIVE,LACKTRPT,LONELINESS,LPA,MAMMOUSE,MHLTH,MOBILITY,OBESITY,PHLTH,SELFCARE,SHUTUTILITY,SLEEP,STROKE,TEETHLOST,VISION
59,US,,11.0,25.4,15.2,34.4,77.0,7.9,9.8,6.4,77.7,87.5,13.7,66.3,6.2,11.4,63.9,20.2,12.0,30.0,23.3,14.7,11.2,19.2,6.7,37.4,11.7,7.9,7.7,32.0,24.5,76.5,15.6,13.5,32.8,12.8,3.8,7.4,36.0,3.4,12.2,5.5
1001,AL,Autauga,8.8,30.0,14.3,42.0,78.2,8.3,10.0,6.7,81.0,86.8,15.3,68.2,7.4,14.5,61.9,25.1,13.3,33.8,23.7,16.5,11.3,21.0,7.9,41.3,12.4,8.8,8.5,32.6,27.0,80.9,17.0,15.4,39.8,13.7,4.0,8.3,37.3,3.7,11.3,5.1
1003,AL,Baldwin,8.3,32.9,14.6,43.8,79.2,10.2,9.3,7.5,80.7,87.9,14.0,69.3,7.5,13.0,63.7,22.5,13.4,33.9,20.9,13.2,8.5,19.3,9.0,42.8,9.7,8.1,6.8,31.4,25.4,75.7,15.1,15.5,35.2,13.2,3.7,6.4,34.8,3.8,10.9,4.8
1005,AL,Barbour,14.3,34.2,12.4,50.2,79.2,7.8,10.8,9.5,81.4,84.2,19.4,62.6,11.1,20.2,46.3,22.1,19.6,44.4,30.6,30.5,25.0,31.4,9.7,43.0,21.1,13.2,14.6,38.5,36.2,75.5,18.5,23.6,46.8,17.4,7.1,15.1,43.0,5.8,27.8,9.1
1007,AL,Bibb,12.6,32.3,14.0,46.3,77.4,8.3,10.4,8.5,79.2,83.6,18.9,62.8,10.2,19.7,51.2,24.4,16.2,41.3,27.3,23.5,18.1,27.6,9.7,42.4,16.1,11.8,11.6,36.0,33.3,69.5,18.9,20.0,43.9,16.7,5.6,11.3,40.6,4.7,21.4,7.2
1009,AL,Blount,11.5,31.8,14.5,41.2,78.3,9.3,9.9,8.0,79.5,85.0,17.1,65.8,9.1,16.6,54.9,24.8,13.8,37.9,23.5,16.7,11.5,23.6,9.7,42.2,11.8,10.0,8.5,34.4,29.1,70.7,17.5,17.3,36.1,15.4,4.5,7.6,36.5,4.1,16.1,5.8
1011,AL,Bullock,17.7,35.3,10.6,56.6,79.7,6.3,11.5,10.7,82.1,82.6,22.3,58.2,13.0,24.7,39.5,21.1,24.6,49.7,33.6,42.9,39.8,39.4,9.6,43.2,29.4,16.7,20.8,39.1,44.2,75.5,20.1,28.6,51.3,19.7,10.0,22.8,49.8,7.3,35.3,12.7
1013,AL,Butler,11.3,35.2,11.6,51.0,81.1,8.4,10.9,9.1,82.8,86.1,17.9,65.5,10.3,18.3,50.1,22.5,18.9,42.1,28.4,26.7,21.8,28.9,9.4,43.4,18.7,12.3,12.8,37.5,37.1,76.9,18.3,22.2,40.4,16.6,6.2,13.4,41.8,5.5,22.2,8.1
1015,AL,Calhoun,10.6,31.6,14.3,44.8,77.1,8.2,10.6,7.7,79.3,84.7,17.4,65.1,8.9,16.3,56.7,24.6,14.8,39.0,25.2,20.5,15.1,25.2,8.7,40.4,14.1,10.7,10.3,36.8,31.9,76.3,18.4,18.3,38.6,15.3,4.8,9.7,41.6,4.2,16.6,6.3
1017,AL,Chambers,11.5,34.2,11.8,48.7,79.9,8.4,10.7,8.6,81.5,85.9,17.8,65.1,9.9,17.7,49.0,22.7,17.9,41.0,27.5,24.6,19.1,27.6,9.1,41.8,17.4,11.7,11.9,35.9,34.3,77.0,18.3,21.3,41.5,16.2,5.9,12.2,41.4,5.2,17.7,7.5
